race,income,parent_ed,raw_sat_score
White,Q4,Bachelor,1080
Asian,Q5,Bachelor,1100
Hispanic,Q5,No HS,1480
White,Q3,Associate,990
Hispanic,Q5,Bachelor,1050
Hispanic,Q2,Grad,1230
White,Q4,Bachelor,920
White,Q5,Grad,960
Black,Q3,HS,980
White,Q4,Grad,1160
White,Q4,Associate,1130
White,Q5,Grad,890
Black,Q3,Bachelor,1000
Hispanic,Q3,Grad,1390
White,Q3,HS,970
White,Q3,HS,930
White,Q4,Bachelor,1070
White,Q5,HS,1440
Hispanic,Q5,HS,1100
White,Q5,Associate,810
Two,Q5,Grad,1220
White,Q4,Grad,1250
Black,Q5,Grad,1440
Black,Q5,Grad,1060
White,Q2,Grad,1040
White,Q3,HS,670
Black,Q1,Grad,840
Hispanic,Q5,Bachelor,930
White,Q3,HS,810
White,Q5,Bachelor,1240
Black,Q1,Bachelor,970
Hispanic,Q5,Bachelor,1200
White,Q3,Bachelor,860
Hispanic,Q3,HS,780
White,Q2,HS,830
White,Q2,Bachelor,890
White,Q3,Grad,1100
White,Q3,Grad,1000
White,Q5,HS,1470
Hispanic,Q4,HS,1220
White,Q5,Bachelor,1330
Asian,Q5,HS,780
Hispanic,Q5,Grad,1150
White,Q5,Bachelor,1280
Black,Q3,HS,790
Hispanic,Q5,Bachelor,1280
White,Q5,No HS,1390
Asian,Q5,No HS,1160
Black,Q2,No HS,620
White,Q4,No HS,940
White,Q2,Grad,940
Asian,Q4,HS,800
White,Q3,HS,930
White,Q5,HS,1010
White,Q3,Bachelor,760
Black,Q4,Grad,930
Black,Q3,Grad,820
Asian,Q5,HS,950
Black,Q5,No HS,1160
Asian,Q2,Bachelor,1410
Hispanic,Q5,HS,980
Hispanic,Q5,Grad,950
White,Q2,Grad,770
White,Q5,HS,1000
Black,Q1,No HS,830
White,Q5,Bachelor,1470
Black,Q5,Associate,1040
Black,Q3,Grad,1370
Hispanic,Q5,Grad,1420
White,Q4,Bachelor,1230
White,Q5,Associate,1080
Hispanic,Q5,Bachelor,1190
Hispanic,Q4,Bachelor,1340
Asian,Q1,Bachelor,1160
White,Q3,HS,1370
White,Q3,Bachelor,1410
Hispanic,Q4,HS,1070
Asian,Q2,Bachelor,980
Black,Q4,Grad,1180
White,Q1,Bachelor,1410
White,Q2,HS,1110
Hispanic,Q3,No HS,990
White,Q1,HS,960
White,Q1,Associate,780
Hispanic,Q5,Bachelor,1380
White,Q5,Bachelor,1030
White,Q4,Bachelor,1220
Hispanic,Q2,Grad,790
Asian,Q1,Bachelor,1120
White,Q4,Bachelor,1420
Hispanic,Q5,HS,840
Black,Q4,Associate,810
Asian,Q4,Bachelor,1150
White,Q4,Bachelor,970
NHPI,Q4,HS,1300
Hispanic,Q3,Associate,1200
White,Q5,Bachelor,1530
Hispanic,Q1,No HS,1010
White,Q2,Grad,680
Hispanic,Q1,Bachelor,1090
Asian,Q5,Grad,1390
White,Q4,Grad,860
Hispanic,Q4,Bachelor,960
Hispanic,Q4,Grad,1130
White,Q4,Associate,920
White,Q3,Grad,1340
White,Q5,HS,740
Hispanic,Q2,Grad,1030
White,Q4,HS,830
White,Q5,Grad,1490
Black,Q5,Bachelor,1230
White,Q2,Bachelor,780
Asian,Q4,No HS,1100
White,Q3,Bachelor,750
White,Q1,Grad,1050
White,Q4,Bachelor,1000
Hispanic,Q1,Grad,860
Black,Q5,HS,1080
Black,Q5,HS,970
Hispanic,Q2,HS,1260
Asian,Q2,Bachelor,1050
Asian,Q3,No HS,890
Hispanic,Q4,HS,880
Black,Q2,Bachelor,810
Black,Q5,No HS,1160
Hispanic,Q5,No HS,790
White,Q1,HS,960
White,Q2,Associate,1040
Asian,Q5,HS,1240
White,Q5,HS,730
Asian,Q5,Bachelor,980
White,Q2,Grad,1010
Asian,Q4,No HS,850
White,Q4,HS,920
White,Q2,Bachelor,1070
Hispanic,Q3,Bachelor,1110
White,Q2,Associate,900
White,Q5,Bachelor,1220
White,Q2,Bachelor,1340
White,Q5,Bachelor,1110
Black,Q5,Associate,1130
Black,Q4,Grad,930
White,Q2,HS,1410
Hispanic,Q4,Bachelor,660
Asian,Q5,Bachelor,1390
Black,Q1,Grad,1080
White,Q5,Bachelor,1130
Asian,Q5,No HS,1520
Asian,Q5,Bachelor,1090
Hispanic,Q2,No HS,1310
White,Q5,HS,1070
White,Q2,Grad,610
Two,Q5,Bachelor,1070
Asian,Q5,HS,1230
White,Q1,Grad,1130
Hispanic,Q4,Grad,970
White,Q5,Bachelor,1020
Hispanic,Q5,HS,940
Black,Q4,Associate,690
Asian,Q1,HS,1050
Black,Q5,HS,1010
Hispanic,Q3,Bachelor,1120
White,Q2,Associate,1210
Asian,Q4,HS,970
White,Q3,Associate,950
White,Q5,Grad,1060
Hispanic,Q3,HS,910
White,Q1,Grad,1460
Two,Q1,Grad,1110
Asian,Q5,Associate,970
Asian,Q2,HS,970
Hispanic,Q1,Grad,1110
Hispanic,Q3,HS,840
White,Q5,No HS,1120
Hispanic,Q4,No HS,650
Hispanic,Q2,Bachelor,830
Black,Q3,Bachelor,1520
Hispanic,Q5,Bachelor,1220
White,Q5,Bachelor,990
White,Q5,Bachelor,1410
Hispanic,Q3,No HS,700
White,Q5,Bachelor,1260
White,Q2,HS,1190
White,Q1,Grad,1280
White,Q2,Grad,1160
White,Q4,HS,1090
Hispanic,Q4,Bachelor,1030
Asian,Q3,Bachelor,1060
Hispanic,Q3,Grad,1220
Hispanic,Q1,Grad,1180
White,Q5,HS,860
Black,Q4,HS,1480
White,Q4,Bachelor,960
Asian,Q5,Bachelor,1580
White,Q5,Associate,810
White,Q5,No HS,1270
White,Q1,HS,960
White,Q2,Bachelor,1020
Two,Q1,Associate,970
White,Q5,HS,1120
White,Q4,Grad,1080
White,Q5,HS,1360
Black,Q5,Bachelor,940
White,Q4,Grad,970
Hispanic,Q2,Associate,630
Black,Q3,Grad,1240
White,Q5,HS,440
Hispanic,Q5,HS,830
Hispanic,Q3,HS,620
White,Q1,HS,1010
White,Q5,Grad,960
White,Q5,HS,970
Asian,Q4,HS,1280
White,Q4,Bachelor,1200
White,Q1,HS,670
White,Q4,Associate,950
Black,Q2,Grad,1030
Asian,Q5,No HS,1410
Black,Q5,HS,550
White,Q4,Grad,1060
White,Q3,Grad,1110
Two,Q4,HS,1190
White,Q5,Bachelor,660
Two,Q5,Grad,950
Hispanic,Q1,Grad,910
Black,Q5,Bachelor,1210
White,Q5,HS,1000
White,Q5,Associate,1040
White,Q1,Bachelor,1370
Black,Q1,No HS,1160
White,Q5,Bachelor,900
White,Q5,Bachelor,1320
White,Q1,No HS,1070
Asian,Q4,HS,960
Hispanic,Q3,Bachelor,690
White,Q1,Bachelor,990
White,Q3,No HS,1340
White,Q5,Bachelor,1000
Hispanic,Q5,HS,990
White,Q3,Bachelor,1100
Asian,Q5,HS,1480
Hispanic,Q5,Grad,1090
Asian,Q1,Grad,1340
White,Q2,Grad,830
White,Q5,Grad,1530
Hispanic,Q1,Grad,750
Asian,Q4,HS,1380
White,Q2,Grad,1050
Hispanic,Q5,Bachelor,1310
Asian,Q3,Grad,640
Hispanic,Q1,HS,1010
White,Q5,Bachelor,1150
White,Q5,Grad,1490
Hispanic,Q5,Grad,1050
White,Q5,Grad,1290
White,Q5,HS,980
Black,Q3,Bachelor,1040
Two,Q3,No HS,980
Black,Q4,Grad,1190
White,Q4,Grad,1380
White,Q1,No HS,920
Hispanic,Q2,Bachelor,1240
White,Q5,HS,1010
White,Q2,HS,1150
Black,Q2,HS,1040
Two,Q2,Grad,1230
White,Q5,Bachelor,1460
Black,Q5,HS,880
Hispanic,Q1,Grad,980
Two,Q5,HS,1370
White,Q1,No HS,1080
Asian,Q3,Grad,1030
Asian,Q5,No HS,1190
White,Q2,HS,1270
Asian,Q5,HS,1000
White,Q2,Grad,1040
Hispanic,Q5,No HS,1000
White,Q1,HS,830
Hispanic,Q2,HS,930
Hispanic,Q5,Bachelor,1080
Hispanic,Q5,Bachelor,800
Asian,Q2,Grad,1400
White,Q4,HS,840
White,Q2,Bachelor,1570
White,Q5,No HS,770
White,Q5,Grad,960
White,Q5,Grad,1070
Black,Q3,HS,1060
Hispanic,Q4,Grad,1100
Asian,Q3,Associate,500
White,Q4,Bachelor,1170
White,Q5,Grad,1370
Hispanic,Q2,Bachelor,920
White,Q3,Grad,1260
White,Q5,Bachelor,1230
Black,Q5,No HS,1010
Asian,Q5,Bachelor,880
Hispanic,Q2,Bachelor,1470
White,Q1,HS,1070
Asian,Q5,No HS,940
White,Q5,No HS,1190
Asian,Q4,HS,1280
Hispanic,Q5,No HS,970
Hispanic,Q5,HS,830
Two,Q1,HS,1320
Black,Q2,HS,1200
Black,Q4,No HS,1030
Hispanic,Q1,Bachelor,1270
Two,Q4,Associate,740
White,Q3,Grad,800
White,Q5,HS,850
White,Q2,HS,1320
Hispanic,Q3,No HS,1000
Black,Q4,Bachelor,920
Black,Q4,Bachelor,1340
Hispanic,Q5,HS,750
White,Q5,No HS,1180
Hispanic,Q3,Grad,1470
Two,Q2,Bachelor,1500
AIAN,Q4,HS,730
Asian,Q3,HS,1210
White,Q3,Bachelor,1020
Black,Q3,HS,860
Black,Q5,HS,930
Hispanic,Q2,HS,1020
Hispanic,Q2,HS,940
White,Q5,Associate,1090
White,Q5,Grad,1350
Hispanic,Q2,HS,1100
Black,Q5,Bachelor,1030
Hispanic,Q5,Bachelor,1340
Black,Q1,Bachelor,1370
White,Q5,Grad,1350
Hispanic,Q5,Grad,1090
White,Q4,Grad,900
Hispanic,Q1,Grad,1350
White,Q1,Grad,1460
White,Q3,Grad,970
Hispanic,Q4,HS,1490
White,Q4,Bachelor,1110
White,Q5,Bachelor,1370
White,Q1,Grad,860
Black,Q5,No HS,1260
Black,Q5,HS,1200
Asian,Q5,HS,1060
Hispanic,Q3,Grad,940
White,Q4,Bachelor,990
White,Q2,Grad,1310
White,Q1,Bachelor,1040
White,Q4,Grad,810
White,Q2,Bachelor,1110
White,Q4,Bachelor,1250
Hispanic,Q4,Grad,1240
White,Q2,Bachelor,1240
White,Q2,Grad,1360
White,Q3,Grad,1020
Asian,Q3,Grad,1180
Asian,Q4,HS,1570
Asian,Q5,No HS,1290
White,Q3,Bachelor,1100
Hispanic,Q2,Bachelor,1000
Hispanic,Q4,Bachelor,1370
Hispanic,Q4,Bachelor,1230
White,Q3,Bachelor,1340
White,Q1,Grad,1190
White,Q4,Bachelor,1390
Asian,Q3,Bachelor,1250
Hispanic,Q1,Bachelor,1150
White,Q3,Bachelor,1200
Black,Q5,HS,600
White,Q4,HS,760
White,Q4,Bachelor,890
Hispanic,Q3,HS,940
White,Q5,Grad,1130
White,Q1,HS,810
White,Q4,Grad,1090
Asian,Q5,Bachelor,940
White,Q2,Bachelor,1170
Hispanic,Q4,Bachelor,1170
White,Q3,HS,1000
White,Q5,Associate,1100
White,Q1,Bachelor,890
Asian,Q4,HS,1170
Asian,Q5,Bachelor,960
White,Q5,Bachelor,1220
Black,Q1,HS,490
Black,Q1,Grad,910
White,Q3,Grad,980
Hispanic,Q5,Grad,840
Black,Q1,Grad,890
White,Q5,No HS,900
Asian,Q4,Grad,1090
White,Q5,HS,1290
Hispanic,Q4,Grad,1170
Hispanic,Q4,HS,740
Hispanic,Q4,Grad,1500
White,Q4,Associate,900
Asian,Q5,Bachelor,900
Asian,Q4,Grad,870
White,Q1,Grad,970
Black,Q3,No HS,1230
Hispanic,Q5,Grad,1390
Hispanic,Q4,HS,920
White,Q5,HS,1010
White,Q2,Grad,1100
Black,Q5,HS,910
White,Q5,Bachelor,1180
Hispanic,Q2,Grad,1020
Asian,Q3,HS,1180
White,Q4,Grad,1160
White,Q2,Bachelor,920
Hispanic,Q5,Bachelor,1120
Black,Q3,Bachelor,990
Black,Q2,HS,1040
Two,Q4,Grad,1130
White,Q4,Bachelor,1110
White,Q2,Associate,850
Hispanic,Q4,Grad,920
White,Q5,HS,890
Hispanic,Q5,Grad,1040
Asian,Q3,Bachelor,1250
White,Q5,Grad,1220
Hispanic,Q5,HS,660
Hispanic,Q5,HS,900
Black,Q5,Bachelor,1320
Hispanic,Q2,Bachelor,880
White,Q5,Grad,1270
Hispanic,Q4,HS,690
Asian,Q2,HS,920
White,Q4,HS,1110
Hispanic,Q5,Grad,860
Hispanic,Q5,Grad,1340
White,Q2,HS,840
White,Q5,HS,1180
White,Q2,Grad,1060
White,Q5,No HS,910
White,Q4,Bachelor,1280
Hispanic,Q5,HS,980
White,Q5,HS,630
White,Q5,Bachelor,1200
Two,Q4,HS,990
White,Q4,Bachelor,1020
Asian,Q5,HS,1180
White,Q5,Grad,1070
Hispanic,Q4,Grad,1140
White,Q1,Bachelor,1100
Asian,Q3,Grad,1230
Two,Q4,Bachelor,1290
Hispanic,Q2,Bachelor,1330
White,Q2,Grad,700
Hispanic,Q1,Associate,760
Black,Q3,Grad,1050
Two,Q5,Bachelor,1210
White,Q1,HS,830
White,Q2,HS,710
Black,Q2,HS,1260
White,Q5,Grad,1290
White,Q5,Bachelor,880
Hispanic,Q5,No HS,790
Hispanic,Q2,Bachelor,1000
Asian,Q4,Bachelor,1430
Black,Q5,No HS,700
White,Q5,Bachelor,1490
Hispanic,Q4,Grad,1420
White,Q5,Grad,1210
Two,Q3,Bachelor,1070
White,Q5,Bachelor,1180
White,Q5,HS,920
White,Q5,Bachelor,1240
White,Q3,No HS,1290
White,Q1,HS,980
Hispanic,Q4,Bachelor,1460
AIAN,Q5,Bachelor,950
White,Q4,HS,1280
White,Q5,Bachelor,970
White,Q3,Grad,1290
Hispanic,Q5,Bachelor,1320
Black,Q4,Grad,890
White,Q4,Bachelor,1260
Black,Q5,Grad,480
Hispanic,Q5,Bachelor,1000
Asian,Q5,HS,1550
White,Q1,HS,1170
Hispanic,Q5,Grad,1030
White,Q4,Bachelor,1050
Hispanic,Q4,Bachelor,1460
Hispanic,Q5,Grad,710
Hispanic,Q1,Grad,1310
White,Q4,No HS,1250
White,Q5,Grad,960
White,Q3,Bachelor,870
White,Q5,No HS,1180
Black,Q3,Bachelor,780
Hispanic,Q3,No HS,960
Black,Q4,Grad,1040
Black,Q5,Grad,950
White,Q5,Associate,1330
White,Q5,Grad,1260
Hispanic,Q5,Bachelor,1100
Asian,Q1,Bachelor,1410
AIAN,Q3,HS,1240
White,Q5,Bachelor,1230
Hispanic,Q5,HS,910
Black,Q1,Grad,1140
Hispanic,Q5,HS,1270
Hispanic,Q5,Grad,1200
Asian,Q1,Grad,1450
Hispanic,Q5,Bachelor,1090
Black,Q4,HS,1460
White,Q2,Bachelor,750
Asian,Q1,Associate,1270
White,Q1,HS,1230
Black,Q2,Grad,1240
Black,Q5,Bachelor,1370
Hispanic,Q5,Grad,1250
White,Q5,Bachelor,1460
White,Q4,No HS,1030
White,Q5,Grad,1230
Black,Q4,HS,540
Hispanic,Q3,Bachelor,1070
Two,Q4,Grad,960
Hispanic,Q1,Grad,1190
Hispanic,Q2,No HS,1010
AIAN,Q4,HS,1220
White,Q2,Bachelor,1350
White,Q4,Bachelor,1170
White,Q5,Bachelor,1190
Asian,Q2,Grad,810
White,Q1,No HS,1080
Two,Q3,Grad,1000
White,Q4,Bachelor,1000
White,Q4,HS,1100
Black,Q4,Grad,1330
Two,Q5,Grad,1340
Black,Q1,HS,490
Asian,Q1,No HS,1180
Black,Q2,No HS,740
White,Q4,HS,910
Two,Q3,Grad,1170
Two,Q4,Grad,750
White,Q4,Bachelor,1090
Black,Q5,Bachelor,1070
White,Q5,Grad,1210
White,Q5,HS,1170
Black,Q3,Bachelor,940
White,Q4,Bachelor,1120
Two,Q4,Bachelor,1000
Black,Q4,Bachelor,1140
Asian,Q2,HS,840
Hispanic,Q1,Bachelor,1160
Black,Q4,Associate,1220
Asian,Q5,Grad,1490
Black,Q5,Bachelor,1350
White,Q5,HS,1150
White,Q5,HS,1280
Hispanic,Q5,Grad,1030
White,Q2,HS,700
Two,Q5,HS,1010
Asian,Q3,Grad,740
White,Q2,Bachelor,1420
White,Q1,Grad,1140
Black,Q5,Bachelor,640
White,Q2,No HS,610
Hispanic,Q5,HS,970
Black,Q5,Grad,1350
White,Q5,Grad,710
Two,Q4,Bachelor,1500
Black,Q4,HS,1000
Black,Q1,Bachelor,1240
White,Q3,Grad,870
White,Q5,Grad,1180
Hispanic,Q5,Grad,1240
Asian,Q1,Grad,950
Black,Q5,Bachelor,1170
Black,Q5,HS,1020
White,Q1,Grad,1320
White,Q4,Bachelor,940
Two,Q1,Grad,1090
White,Q5,Bachelor,1510
Black,Q1,Bachelor,1220
Hispanic,Q5,Bachelor,1040
Black,Q3,Bachelor,800
Hispanic,Q4,Grad,880
AIAN,Q5,HS,1280
Hispanic,Q4,Associate,1190
Black,Q5,Grad,1110
Hispanic,Q5,HS,1460
Black,Q4,Bachelor,1340
White,Q5,HS,1300
Hispanic,Q5,Bachelor,1300
Asian,Q4,Grad,1320
White,Q5,Bachelor,1370
Hispanic,Q1,HS,900
White,Q5,Grad,1260
White,Q1,Bachelor,880
White,Q1,Bachelor,820
White,Q4,Grad,1170
Two,Q1,Bachelor,740
White,Q1,Grad,1080
Black,Q4,Bachelor,1120
Black,Q3,Bachelor,1180
Hispanic,Q5,No HS,750
White,Q5,Bachelor,850
White,Q3,Associate,1270
White,Q3,No HS,1150
White,Q5,Grad,1020
Hispanic,Q5,Bachelor,1380
White,Q2,No HS,1080
Hispanic,Q1,Bachelor,510
White,Q4,Bachelor,1020
White,Q4,Associate,1140
White,Q1,Grad,850
Black,Q4,No HS,740
Hispanic,Q3,Grad,1100
Black,Q5,No HS,910
White,Q5,Grad,1180
Hispanic,Q2,Associate,1370
White,Q5,Grad,1270
Hispanic,Q5,Bachelor,1140
Hispanic,Q5,Bachelor,1260
Hispanic,Q3,HS,950
White,Q5,HS,770
Black,Q2,No HS,1150
White,Q3,HS,920
White,Q4,Bachelor,480
White,Q5,Grad,1300
Hispanic,Q5,No HS,680
White,Q5,Bachelor,820
Hispanic,Q5,Grad,1350
White,Q3,Grad,910
White,Q5,HS,1190
White,Q4,No HS,1150
White,Q4,Bachelor,1190
Black,Q2,Bachelor,1040
White,Q1,Bachelor,1350
White,Q1,Bachelor,1110
Hispanic,Q2,Grad,1180
White,Q2,Bachelor,890
Hispanic,Q5,HS,940
Hispanic,Q4,HS,530
Asian,Q4,No HS,1030
White,Q5,HS,710
Black,Q1,HS,1290
Hispanic,Q5,Bachelor,1100
White,Q2,Grad,1250
White,Q2,HS,1190
White,Q5,No HS,640
White,Q5,Grad,1190
NHPI,Q2,Grad,1150
White,Q2,Associate,940
Asian,Q5,HS,1270
White,Q2,Grad,1310
White,Q4,Associate,1530
White,Q5,Associate,1020
Black,Q5,Grad,750
White,Q5,Bachelor,1340
White,Q5,HS,990
Asian,Q5,No HS,1020
White,Q5,Grad,740
White,Q1,Bachelor,1360
Hispanic,Q4,Grad,1440
White,Q4,Bachelor,1120
Hispanic,Q3,Bachelor,1220
Hispanic,Q5,HS,830
Black,Q4,HS,1130
Black,Q5,Grad,1040
Asian,Q2,Bachelor,1270
White,Q5,HS,860
Hispanic,Q3,No HS,1320
Black,Q4,Associate,1480
White,Q1,HS,1120
Black,Q2,HS,580
Hispanic,Q2,Grad,1070
Black,Q4,Grad,1000
White,Q5,Bachelor,1080
Black,Q4,Bachelor,710
White,Q3,HS,1080
Hispanic,Q3,HS,810
NHPI,Q5,Bachelor,920
Black,Q5,Bachelor,1050
White,Q1,Grad,1210
Black,Q2,Grad,840
Black,Q1,HS,410
Hispanic,Q3,Bachelor,710
Asian,Q5,Grad,620
Asian,Q1,HS,590
Hispanic,Q5,Bachelor,940
White,Q4,Bachelor,1490
Hispanic,Q1,No HS,1240
White,Q4,Associate,1140
Hispanic,Q3,Bachelor,1270
Two,Q5,Grad,1350
Asian,Q5,HS,1050
Hispanic,Q4,HS,950
White,Q2,Bachelor,950
Hispanic,Q3,HS,1280
Asian,Q1,HS,1430
Asian,Q4,Bachelor,1100
Hispanic,Q4,Grad,830
White,Q1,Bachelor,1110
White,Q5,HS,1400
White,Q5,Grad,1250
White,Q1,HS,1100
White,Q4,Bachelor,1160
Black,Q4,HS,870
White,Q5,HS,1110
White,Q5,HS,1170
White,Q5,Bachelor,830
White,Q1,Bachelor,840
Hispanic,Q4,Associate,1070
Hispanic,Q5,HS,1010
White,Q5,Grad,1260
Hispanic,Q2,Bachelor,900
White,Q1,Grad,1040
White,Q5,Grad,1120
White,Q5,Grad,1110
Hispanic,Q3,HS,1050
White,Q5,HS,1550
White,Q4,Bachelor,1150
Two,Q3,HS,1460
White,Q3,Grad,1100
White,Q3,HS,670
White,Q5,HS,1200
White,Q5,Bachelor,1180
Black,Q1,Bachelor,620
Hispanic,Q1,Bachelor,590
Asian,Q5,Bachelor,1070
White,Q4,Bachelor,1110
Asian,Q2,Bachelor,650
Hispanic,Q5,Bachelor,1030
White,Q4,Bachelor,940
White,Q2,HS,750
Black,Q1,No HS,1180
White,Q1,Bachelor,1270
Black,Q4,HS,530
White,Q2,HS,1050
Hispanic,Q5,Bachelor,730
Hispanic,Q3,Bachelor,1070
White,Q2,Bachelor,1230
Asian,Q4,HS,1360
Hispanic,Q2,Grad,960
Black,Q2,Grad,970
Hispanic,Q5,Grad,900
White,Q5,Grad,1050
Black,Q4,Grad,1350
Black,Q4,Grad,1030
White,Q1,HS,1050
White,Q3,Bachelor,1450
Asian,Q3,Associate,1160
Asian,Q2,Grad,850
White,Q3,HS,1230
Hispanic,Q4,Bachelor,1030
Hispanic,Q1,HS,940
White,Q1,Grad,1110
White,Q5,Grad,1310
White,Q5,HS,870
Hispanic,Q4,Bachelor,1370
White,Q2,Grad,1170
Asian,Q4,HS,1170
Black,Q5,Bachelor,1200
Asian,Q5,Grad,1010
Hispanic,Q3,Bachelor,1240
Asian,Q4,Grad,1530
White,Q2,Bachelor,1190
Asian,Q5,Bachelor,1080
Black,Q2,Grad,630
White,Q5,Grad,1020
Hispanic,Q1,Bachelor,1290
Black,Q1,Bachelor,1130
White,Q5,HS,880
White,Q1,HS,1160
Black,Q4,HS,840
Asian,Q4,Associate,1340
Hispanic,Q4,HS,600
Black,Q5,HS,840
Black,Q2,HS,1180
Hispanic,Q5,Grad,1040
White,Q4,Bachelor,1180
White,Q4,Bachelor,900
White,Q4,Grad,860
Hispanic,Q3,Bachelor,840
Asian,Q2,Bachelor,1590
AIAN,Q5,HS,1090
Black,Q5,Bachelor,1350
Black,Q3,HS,1420
Hispanic,Q3,Grad,940
White,Q5,Grad,1400
Black,Q4,Bachelor,830
White,Q3,HS,1020
Black,Q5,HS,1230
Black,Q5,HS,1200
Hispanic,Q5,No HS,1050
Black,Q3,Bachelor,690
Hispanic,Q5,Associate,1090
White,Q2,HS,1190
White,Q4,Grad,1060
Hispanic,Q5,HS,930
Black,Q4,Grad,1040
White,Q3,Grad,1030
Black,Q5,No HS,1210
Hispanic,Q4,No HS,1100
White,Q1,Grad,1310
Hispanic,Q1,HS,1030
Hispanic,Q5,Grad,900
Black,Q5,Grad,900
Asian,Q5,Grad,980
Two,Q4,Grad,1140
Asian,Q3,Bachelor,1230
Hispanic,Q5,Bachelor,1080
Black,Q3,HS,1070
White,Q5,Bachelor,1530
White,Q5,HS,790
White,Q2,Bachelor,1060
Hispanic,Q4,No HS,820
Hispanic,Q2,Bachelor,970
White,Q2,HS,1100
White,Q2,Grad,1020
Hispanic,Q4,Grad,700
White,Q5,HS,1010
Asian,Q5,Bachelor,1310
White,Q5,Associate,1170
Asian,Q3,Bachelor,1030
White,Q2,HS,830
White,Q5,HS,860
Two,Q5,Grad,900
White,Q3,No HS,1080
White,Q2,Grad,630
Black,Q4,Bachelor,1260
Asian,Q5,HS,840
White,Q4,Grad,1370
White,Q5,HS,1040
White,Q1,HS,1120
Hispanic,Q5,HS,970
White,Q5,HS,1160
Hispanic,Q3,HS,620
Black,Q5,Bachelor,1040
Black,Q4,Bachelor,1010
Black,Q1,Bachelor,440
White,Q1,HS,1170
White,Q3,Bachelor,1040
Asian,Q5,Bachelor,1170
Asian,Q3,Bachelor,920
White,Q1,Grad,920
Hispanic,Q4,HS,1000
Hispanic,Q1,Grad,980
White,Q4,Bachelor,930
Asian,Q4,HS,920
Black,Q5,Bachelor,770
White,Q5,Grad,1290
White,Q5,HS,1170
White,Q4,Grad,1190
White,Q5,No HS,1560
White,Q2,HS,730
Two,Q5,No HS,830
Asian,Q4,Grad,1100
White,Q4,Bachelor,1210
Black,Q5,HS,960
Hispanic,Q4,Bachelor,1550
White,Q1,Grad,1540
Black,Q5,Grad,830
White,Q3,HS,910
White,Q4,Bachelor,1390
Black,Q4,Bachelor,1000
White,Q2,HS,970
White,Q5,HS,1100
White,Q5,Grad,1120
Black,Q5,Grad,970
Hispanic,Q5,HS,960
Hispanic,Q3,No HS,1480
Hispanic,Q5,Grad,1410
White,Q4,HS,1160
AIAN,Q3,Grad,960
White,Q1,Bachelor,1020
White,Q5,HS,1100
Hispanic,Q5,Grad,800
Black,Q5,Grad,1080
Asian,Q4,Grad,840
Black,Q5,HS,1430
Black,Q5,Bachelor,1550
White,Q5,Grad,1300
AIAN,Q4,Grad,710
White,Q2,Grad,1220
White,Q5,Bachelor,1390
White,Q3,Grad,1210
White,Q4,Grad,1180
Black,Q3,HS,770
White,Q3,Bachelor,1230
Asian,Q4,Bachelor,1260
Hispanic,Q5,HS,1150
White,Q1,HS,1190
White,Q3,Associate,920
White,Q3,HS,780
White,Q4,Bachelor,1530
Asian,Q4,Grad,1100
Two,Q4,HS,1020
White,Q5,Bachelor,1410
Two,Q5,Bachelor,1200
White,Q5,Bachelor,900
Hispanic,Q5,Grad,1330
White,Q5,Bachelor,1220
White,Q2,Bachelor,910
Black,Q1,HS,1320
White,Q4,Grad,1350
Hispanic,Q2,HS,1010
White,Q5,Bachelor,750
Black,Q5,Bachelor,960
Hispanic,Q5,Bachelor,950
White,Q3,No HS,1150
Hispanic,Q4,Grad,1250
White,Q4,Bachelor,1350
White,Q5,Grad,1380
White,Q1,HS,1110
White,Q4,Bachelor,1150
White,Q3,Bachelor,1200
Hispanic,Q3,Bachelor,910
Asian,Q1,Bachelor,1240
White,Q5,Grad,1360
White,Q2,Bachelor,990
Hispanic,Q5,Bachelor,1100
White,Q5,Bachelor,860
White,Q5,HS,850
Hispanic,Q2,Grad,770
White,Q4,Grad,990
AIAN,Q5,Bachelor,950
Hispanic,Q5,Bachelor,1220
Asian,Q4,No HS,1530
White,Q4,Grad,1190
White,Q4,HS,1130
White,Q4,HS,1000
White,Q3,HS,1520
Hispanic,Q2,Grad,540
White,Q5,HS,1150
Hispanic,Q4,Associate,850
Two,Q3,No HS,1090
White,Q3,Grad,1320
Black,Q4,Bachelor,750
White,Q5,HS,950
Black,Q5,No HS,1300
Asian,Q4,HS,1250
White,Q4,Grad,1480
Asian,Q4,Grad,1220
White,Q5,Bachelor,1030
Hispanic,Q2,HS,670
Black,Q4,Grad,690
Black,Q2,Grad,840
Hispanic,Q4,Grad,1080
Hispanic,Q2,Bachelor,1030
Hispanic,Q4,Associate,850
White,Q5,Grad,1030
Two,Q2,HS,1140
Two,Q3,HS,840
White,Q5,Grad,1080
White,Q3,Grad,860
Hispanic,Q2,Grad,1290
Hispanic,Q3,HS,640
Hispanic,Q4,Grad,1230
Hispanic,Q4,Grad,1130
Black,Q4,Grad,860
Asian,Q5,HS,1390
White,Q5,HS,920
Black,Q5,Grad,1410
AIAN,Q5,Grad,1210
White,Q2,Grad,1040
White,Q5,Bachelor,980
Hispanic,Q4,HS,990
White,Q4,Bachelor,910
Asian,Q2,HS,850
Hispanic,Q3,HS,1330
Asian,Q4,Associate,970
White,Q5,HS,1100
White,Q5,HS,1080
Hispanic,Q4,Bachelor,820
